,aspect,opinion,negative,neutral,positive
124,Location,"close enough to fishermans wharf for convenience, but off the beaten path enough to be classy",0,0,1
125,View,more of the restaurant itself and the small marina than the bay itself,1,0,0
126,Price,"quite reasonable, especially compared to the tourist traps nearby",0,0,1
127,Food,quality of the food,0,0,1
128,Menu,classic seafood dishes and some new spins on them as well,0,0,1
129,Crab,incredible,0,0,1
130,Dungeness crab,Delicious fresh,0,0,1
131,Cioppino,large enough for 2 or 3,0,0,1
132,Oysters & Lobster Bisque,very good,0,0,1
133,Swordfish,over cooked,1,0,0
134,Risotto,not authentic,1,0,0
135,Service,polish and good,0,0,1
136,Fish,always fresh,0,0,1
137,Atmosphere,cool - kinda like stepping back in time to another era,0,0,1
138,Prices,a bit high,1,0,0
139,Price,overpriced and overhyped,1,0,0
140,Food,food was not that great,1,0,0
141,View,view is ok depending on where your sitting,0,1,0
142,Bush man,gonna get ya,1,0,0
143,Food,Great food,0,0,1
144,Scenary,pleasant scenary,0,0,1
145,Smell,fishy smell,1,0,0
146,Tourist attractions,All the tourist things you can want,0,0,1
147,Rain forest,I personally like rain forest,0,0,1
148,Johnny Rockets,I personally like Johnny Rockets,0,0,1
149,Food,hit or miss,1,0,0
150,Crab Louie,consistently fantastic,0,0,1
151,Ambiance,cozy table with a view of the bay,0,0,1
152,Value for money,great grandpa first started eating here decades ago and I intend to keep up the tradition,0,0,1
153,Wait time,"Long wait, slow service, expect 2.5 hours total",1,0,0
154,Food,Food is good but not amazing. Lobster and steak are flavorless. So are the veggies,1,0,0
155,Location,by the water so pretty nice view,0,0,1
156,Overall experience,not all its hyped to be. Wouldnt come again,1,0,0
157,Italian seafood,"good, solid",0,0,1
158,View from restaurant,outstanding,0,0,1
159,Recommendation,A must visit,0,0,1
160,Location,Located near the end of Fisherman's Wharf,0,0,1
161,Food,serves great food,0,0,1
162,Price,I didn't realize how expensive most dishes would be,1,0,0
163,Lunch specials,better and very tasty,0,0,1
164,Steak sandwich,well prepared and filling,0,0,1
165,Fixed price lunch menus,looked like a good way to taste multiple dishes,0,0,1
166,Overall satisfaction,I just love this place,0,0,1
167,Service,"Heather was our waitress one night. Her answer was always, We should be able to do that.",0,0,1
168,Food,Love the food,0,0,1
169,Overall satisfaction,Not bad,0,0,1
170,Price,way overpriced,1,0,0
171,Recommendation,You can do much better for much less outside the tourist trap,1,0,0
172,Dinner,Delicious,0,0,1
173,Bartender,Awesome,0,0,1
174,Service,Wonderful,0,0,1
175,Broiled Halibut,Very good,0,0,1
176,Meal,wonderful,0,0,1
177,Seafood,one of the best...we have had,0,0,1
178,Parking,Dont even try to park here but park several blocks away and walk,1,0,0
179,Food,Great,0,0,1
180,Atmosphere,Great,0,0,1
181,Price,pricier,1,0,0
182,Value for money,Worth it,0,0,1
183,Location,surprising gem among the tourist trap wasteland that is Fishermans Wharf,0,0,1
184,Price,bit pricey perhaps,1,0,0
185,Seafood,solid seafood,0,0,1
186,Recommendation,Went to restaurant on recommendation,0,0,1
187,Fresh fish,Expected fresh fish off the boat but they had none,1,0,0
188,Specials,No specials,1,0,0
189,Food,Food was overpriced,1,0,0
190,Waiter,Waiter was a older gentleman and very surly,1,0,0
191,Service,Service was sub par,1,0,0
192,Location,Location was great,0,0,1
193,Meals,The meals that were ordered were fast and of average quality,0,0,1
194,Recommendation,I would not recommend,1,0,0
195,Touristy,Touristy to the max,1,0,0
196,Food,The food wasnt all that great,1,0,0
197,Waiter,waiter only came by a couple times,1,0,0
198,Seating,We waited for 45 minutes before being seated,1,0,0
199,Crowded,place was extremely crowded,1,0,0
200,Decor,Decor is dated,1,0,0
201,Menu,menu is over priced,1,0,0
202,Salads,"made from brown, wilted, store-bought pre-prepared mixes that sat in the back of the fridge too long",1,0,0
203,Wine selections,mediocre,1,0,0
204,Crab,so overcooked you have to chew on it like a strap of leather,1,0,0
205,Seafood,go to a Red Lobster,1,0,0
206,Scomas,singularly terrible in that regard,1,0,0
207,Atmosphere,No complaints,0,0,1
208,Waitstaff,did a great job,0,0,1
209,Bread,great,0,0,1
210,Service,great,0,0,1
211,Food,quick and tasty,0,0,1
212,Location,Hidden behind Fishermans Wharf with a view of the water this place is worth the few extra steps,0,0,1
213,Staff,most friendly staff,0,0,1
214,Specials,walked through the delicious daily specials(many of them right off the boat),0,0,1
215,Wine menu,nice wine menu,0,0,1
216,Pricing,"A little bit pricey, but well worth it compared to the other tourists traps around the Wharf this place is worth the money",0,0,1
217,Cioppino,to die for and comes in a huge portion,0,0,1
218,Swordfish,fresh swordfish is also a favorite menu item,0,0,1
219,Food,"Very, very good food but not amazing",0,0,1
220,Decor,Nice decor,0,0,1
221,Location,"Fun to east on a pier, but the view is of old fishing boats not the water",1,0,0
222,Scallops,Amazing,0,0,1
223,Carmelization,perfectly carmelized,0,0,1
224,Cooking,cooked perfectly,0,0,1
225,Chowder,tasty,0,0,1
226,Service,good,0,0,1
227,Breakfast,seafood omelelet is good,0,0,1
228,Restaurant ambiance,old style,1,0,0
229,Prices,high,1,0,0
230,Service,not excellent,1,0,0
231,Food quality,mixed,1,0,0
232,Fish,very fresh,0,0,1
233,Pasta,superb,0,0,1
234,Wine,superb,0,0,1
235,Atmosphere,very nice,0,0,1
236,Overall satisfaction,"star has fallen, behind the times, still pretty cool",1,0,0
237,Food,Great food,0,0,1
238,Meal,best meal ever,0,0,1
239,Food,"Fresh, off the roof tasty",0,0,1
240,Service,excellent,0,0,1
241,Price,"$100 for my family of four is shameful, and out of our budget",1,0,0
