,aspect,opinion,negative,neutral,positive
71,Veggie burger,amazing,0,0,1
72,Recommendation,I highly recommend this restaurant,0,0,1
73,Food,good and plentyful,0,0,1
74,Service,attentive,0,0,1
75,Decor,Disney like,0,0,1
76,Decor and service,Great,0,0,1
77,Chefs,Great,0,0,1
78,Food,excellent,0,0,1
79,Portion size,very big,0,0,1
80,Speed of service,quick,0,0,1
81,Volcano cake,enjoyed very much,0,0,1
82,Crowd control,service is good at maintaining and seating the people very quickly,0,0,1
83,Gift shop,"small gift shop with toys, candy, apparel, etc., great for kids",0,0,1
84,Environment simulation technology,spectacular,0,0,1
85,Price,"a little bit pricey, cost seven of us $140 dollars, but hey, what restaurant isn't. Definitely worth it",0,0,1
86,Eating dinner,wonderfully cool rainforrest,0,0,1
87,Overall satisfaction,Love this place,0,0,1
88,Environment,tranquil,0,0,1
89,Food,"The food was okay, nothing special to me personally",1,0,0
90,Decor,"awesome, especially if you're with the kids",0,0,1
91,Freaky gorilla,moves,0,0,1
92,Fish tanks,positive,0,0,1
93,Food,Ok food,0,1,0
94,Noise level,Very very loud,1,0,0
95,Service,pretty good,0,0,1
96,Price,Too expensive for what you get,1,0,0
97,Interior design,amazed,0,0,1
98,Meals and coffee,wish to be as good as the look of this place,1,0,0
99,Water tanks with fish,incredible,0,0,1
100,Food,great,0,0,1
101,Animatronic animals,give a great and fun atmosphere,0,0,1
102,Service,rude and had no people skills,1,0,0
103,Timeliness,it takes another hr before we get our food,1,0,0
104,Accuracy,we were charged for a cake we never got,1,0,0
105,Family friendliness,Great place for the family,0,0,1
106,Decor,"looks like a real Rainforest due the fish tanks and the fake animals, they make sounds like real animals",0,0,1
107,Food,sucks,1,0,0
108,Animals,move all the time,0,0,1
109,Waterfall,enjoy,0,0,1
110,Server,nice,0,0,1
111,Wait time,15 minutes,0,0,1
112,Décor,look and feel as rainforesty as possible,0,0,1
113,Dishes,more or less standard Americana type meals,1,0,0
114,Wait time,30 min...not unreasonable for it being a Saturday night and a larger party,0,0,1
115,Wait time,"After 45 minutes we went up to the counter and asked whats going on, and were told that our table was being cleaned - then we heard called 4 other large parties that arrived after us over the next few minutes. Once we hit 1 hour wait time - we left",1,0,0
116,Seating,seated right away,0,0,1
117,Atmosphere,fun and exciting,0,0,1
118,Service,"slow, and not as friendly as you would expect in such an exciting environment",1,0,0
119,Food,"in my husbands words 'Eh, okay'",1,0,0
120,Birthday celebration,$16 charge added to the bill without any of my guests being told,1,0,0
121,Price,the bill was $300 at least,1,0,0
