,aspect,opinion,negative,neutral,positive
139,Experience,good experiences,0,0,1
140,Location,Very close to NASA and Google,0,0,1
141,Pumpkin curry,keep going back,0,0,1
142,Other curries,good too,0,0,1
143,Service,just acceptable,1,0,0
144,Wait staff,cant speak much English,1,0,0
145,Value,Good value,0,0,1
146,Overall satisfaction,"Im not sure it is actually 4 stars for me, but Ill error on the side of caution because I really did like the food",0,0,1
147,Crying Tiger Beef,"came on a bed of salad greens and a spicy sauce on the side. Like I said, I really liked it",0,0,1
148,Service,"good, but honestly the place wasnt very busy at all. I was the only one at the small bar (seats 3) so I had the bartenders full attention",0,0,1
149,Ambiance,"if you plan on eating, I dont suggest the bar to sit at. The stools are a bit shakey and the bar height is awkward at best",1,0,0
150,Food,Good tasty Thai food,0,0,1
151,Food,Really good,0,0,1
152,Prices,Really good,0,0,1
153,Busy-ness,Stays busy,0,0,1
154,Thai restaurants,Shana Thai in Mountain View has ruined me for all other Thai restaurants,0,0,1
155,Food,Delicious food packed with flavor at great value,0,0,1
156,Servers,pleasant servers,0,0,1
157,Ambiance,classy dark evening ambiance,0,0,1
158,Favorite dishes,"pad thai, spicy eggplant (not that spicy), and cashew nut chicken",0,0,1
159,Other dishes tried,"sea bass, Tom Yum (hot and sour soup), green curry roti, and pad see-ew",0,0,1
160,Shaking beef,good,0,0,1
161,Overall satisfaction,best Thai in the neighborhood,0,0,1
162,Pumpkin curry,full of delicious,0,0,1
163,Thai iced tea,full of delicious,0,0,1
164,Overall satisfaction,Love this place,0,0,1
165,Overall satisfaction,Nice place,0,0,1
166,Menu and food,flavorful,0,0,1
167,Chicken,over cooked,1,0,0
168,Thai flavors,perfect,0,0,1
169,Restaurant,ran very well and performs like a team,0,0,1
170,Everyone,on their game,0,0,1
171,Rating,B+,0,0,1
172,Healthy choices,lots of,0,0,1
173,Vegetarian options,great,0,0,1
174,Friend's recommendation,My friend was thinking Thai for lunch and recommended this place,0,0,1
175,Crowds,"It was crowded for lunch on a Monday, but we were lucky to get seats immediately at the bar",1,0,0
176,Bar stools,the bar stools arent high enough,1,0,0
177,Food,the food was really good,0,0,1
178,Pad Thai noodles,I enjoyed my pad thai noodles,0,0,1
179,Friend's experience,likewise for my friend,0,0,1
180,Probability of returning,I certainly plan on going back,0,0,1
181,Neighborhood,Nice,0,0,1
182,Restaurant,Everything is good,0,0,1
183,Overall satisfaction,Great place,0,0,1
184,Thai food,Favorite Thai in Mountain View. Worth the short walk from Castro Street,0,0,1
185,Pumpkin curry,liked,0,0,1
186,Chicken pad thai,liked,0,0,1
187,Roti dish,liked,0,0,1
188,Roasted cashew chicken,amazing,0,0,1
189,Unfiltered hot sake,delicious,0,0,1
190,Waiting time,Expect to wait a bit if they're busy though,1,0,0
191,Pad thai,"greasier than I normally like my pad thai, but overall tasted ok",1,0,0
192,Quick and simple meal,Good place to go,0,0,1
193,Take out,decent,0,0,1
194,Sit down meals,decent,0,0,1
195,Menu,standard,0,0,1
196,Pumpkin curry,very interesting and on the sweet side,0,0,1
197,Pad thai,bit lacking though and its a bit too much noodles versus other stuff,1,0,0
198,Overall,alright choice for Thai in the Mountain View area thats off of the overcrowded Castro strip,0,0,1
