,aspect,opinion,negative,neutral,positive
60,Server,Valerie is always super friendly and has good food/drink recommendations,0,0,1
61,Service,good service right there,0,0,1
62,Food,The mozzarella sticks came at a quick speed,0,0,1
63,Food,All the food tasted great,0,0,1
64,Restaurant service,All expected restaurant service was handled very well,0,0,1
65,Pizzas,Great deep dish pizzas covered with gooey cheese and toppings of your choice,0,0,1
66,Salads,ample if not a bit pricey for their size,1,0,0
67,Pizzookie,killer in any flavor,0,0,1
68,Pizza,Great,0,0,1
69,Ambiance,Great,0,0,1
70,Chill Spot,Great,0,0,1
71,Service,Love,0,0,1
72,BJs,You Rock,0,0,1
73,Overall satisfaction,Dont even bother,1,0,0
74,Cooking,"well cook whatever you want, but dont expect it to be good",1,0,0
75,Pazooki,to die for,0,0,1
76,Service,sometimes the service has been a bit slow,1,0,0
77,Pizzookie,Really cant go wrong with these two things,0,0,1
78,Food,great food,0,0,1
79,Pazuki,love,0,0,1
80,Pizza,large,0,0,1
81,Service,fast,0,0,1
82,Store,I always visit this store,0,0,1
83,Wait time,we were skipped 3 times and after waiting an hour we spoke to the manager,1,0,0
84,Service,"The quality of the service overall, was a let down",1,0,0
85,Food,The food was perfect and we enjoyed every bite,0,0,1
86,Chain,Great,0,0,1
87,Location,Great,0,0,1
88,Atmosphere,Great,0,0,1
89,Tuna tartar appetizer,deelish,0,0,1
90,Beer selection,Great,0,0,1
91,Place,Very nice,0,0,1
92,Servers,very nice,0,0,1
93,Food,amazing,0,0,1
94,Calories,Dishes have a lot of calories,1,0,0
95,Food,"Certain foods are good, for ex...pizzas,  flatbreads, salads & beers & especially the alcoholic root beer",0,0,1
96,Service,bad service even during the slow time,1,0,0
97,Asian dishes,don't order the Asian dishes,1,0,0
98,Food,Excellent food,0,0,1
99,Service,superb service,0,0,1
100,Menu,plenty of delicious food on the menu,0,0,1
101,Pizzas,"spongy, mouth watering deep dish pizzas",0,0,1
102,Restaurant,awesome restaurant thats not too over priced,0,0,1
103,Family,great for the whole family,0,0,1
104,Noise level,very noisy,1,0,0
105,Space,cramped,1,0,0
106,Beers,"OK, safe compared to other craft beers",0,0,1
107,Alcohol choices,beer or wine,0,0,1
108,Selection of beer,Great,0,0,1
109,Happy Hour Menu,the best late night happy hour menu,0,0,1
110,Happy Hour Menu,now they have this special happy hour menu where is looks like they have the same dishes at approximately the same price but in reality all the happy got dishes are now miniaturized,1,0,0
111,Angus sliders,used to get 4sliders plus fries... now you get 2 sliders,1,0,0
112,Boneless chicken wings,used to be a full serving with 10-15 nuggets...now 5 tiny Costco style mini nuggets with 3 sticks of celery and a tiny thimble of sauce,1,0,0
113,Value for money,they charge about the same amount as the old happy hour for about half the food... happy hour is now disappointment hour at bjs,1,0,0
114,Overall satisfaction,horrible experience,1,0,0
115,Wait time,10 minutes,0,0,1
116,Waitress,horrible,1,0,0
117,Food,cold,1,0,0
118,Manager,tried,0,0,1
119,Overall satisfaction,2nd horrible experience,1,0,0
120,Beers,Good,0,0,1
121,Food,decent,0,0,1
122,Overall satisfaction,This place is horrible,1,0,0
123,Service,crappy service each time,1,0,0
124,Time to get through dinner,3 hours,1,0,0
125,Overall satisfaction,great experience,0,0,1
126,Family,We love it,0,0,1
127,First pick restaurant,This is our first pick restaurant,0,0,1
128,Service,Very good service,0,0,1
129,Food,Happy with the food,0,0,1
130,Drinks,Happy with the drinks,0,0,1
131,Service,poor service,1,0,0
132,Service,long wait to receive our order,1,0,0
133,Service,being ignored or they just really not care,1,0,0
134,Food,Good food,0,0,1
135,Service,Great service,0,0,1
136,Allergen menu,very extensive,0,0,1
137,Food,good,0,0,1
138,Steak,no offer of steak sauce,1,0,0
139,Mashed potatoes,very good,0,0,1
140,Gravy,need to ask for gravey,1,0,0
